c17a5fa2,3c45b75d,CH_RRASCO,U
9d122f3c,b1373ea7,AG_LHA,U
af0bfa45,eb520f94,AZ_LEJO,U
eaa40bf5,c0add2b7,MACH_CADO,U
2355d86b,fafd19ae,EST_FAR,U
bf41af58,c59db6d1,CHUCH_,U
6e1cc7a2,b4ad0a33,TOF_,U
af27d976,a57dc1fc,CHAPÉ_,U
3604f959,9cc04239,XAMP_,U
b39b5989,b575ead5,__QUIDIFICADOR,LI
4400b625,53838456,__GO,LA
b74a7d23,b87ecf3f,__NGUA,LÍ
b66207cb,a8d9176d,__GUMES,LE
d901ee3e,2059bcf1,E__FANTE,LE
36844174,a5bb4e24,A__MENTOS,LI
ec6dc305,d8aa294c,A__CATE,LI
08ac0f0e,9d736e11,A__GRIA,LE
9cedcea7,8a1bfd71,BO__,LA
4c41b2ff,6d9c36d9,CHU__,LÉ
e083d9ec,5806c58c,JAU__,LA
994d9cc3,2ff2de64,VIO___,LÃO
6404d261,84434433,__XE,PU
ea3ea1c4,97c2308d,__IXE,PE
769bf541,f1bc79c9,__FOU,PI
3bb6683f,aa952115,__LGA,PU
1f313a12,c583af95,CHU__TA,PE
ecda5a96,72009258,AS__RGO,PA
417b30d2,d34e560a,GUE__RDO,PA
87525d6b,773194d6,ES__NJA,PO
3263cca0,9cc04239,XAM__,PU
85ecac5f,186af6b0,LIM__,PA
842eee1e,0075e33a,XARO__,PE
03b2c058,00ecf92f,GARU__,PA
8af16797,3e90ed96,__CA,VA
a0f6df4f,73b78e2b,__DRO,VI
3fd0dcdf,49ac8942,__DRAÇA,VI
7aedbf5d,e7a3b3d9,__RE,VI
d0ddb92c,35652d75,A__ÃO,VI
84c58e61,e2ec96f2,A__NTURA,VE
47d1ba88,81587a83,A__NTAL,VE
554bd13b,267969f3,A__SO,VI
59b00ea8,6fd1a502,CHU__,VA
285f6681,4b27714a,CHA__,VE
4c959b5c,99719e8f,TRO___,VÃO
b53c23dd,22d74777,CRA__,VO
9e697f87,3449f4c8,__REFA,TA
999b37c3,b4ad0a33,__FU,TO
932592ec,0bb48434,__LEFONE,TE
f634f020,8493af4d,__GARELA,TA
0f9ecf42,56daa673,A__NGIR,TI
9f50cab6,3290d295,U__NSÍLIO,TE
9d324d69,cbde2a6f,A__VIDADE,TI
eba79d87,fafd19ae,ES__FAR,TU
bd113920,97b42398,FI__,TA
57f2c161,4294acf9,FO__,TO
f6a7113e,8f80af90,FES__,TA
bde50b42,c583af95,CHUPE__,TA
f0bb9967,c0add2b7,__CHUCADO,MA
365e4f4a,7a6725b5,__CHADO,MA
e89cd3c0,3ba67219,__XERICA,ME
79492ff8,bc7d0d20,__XILHÃO,ME
44149d72,5227154b,A__RGO,MA
a20d3c4a,3e338a6a,CHA__NÉ,MI
7ad0e312,3cafc093,DO__NÓ,MI
b6ce2345,3f29aff9,FU__ÇA,MA
23ee9357,f7f6c2dd,LES__,MA
56c202b5,39de396d,ENXA__,ME
dccf7287,a8d9176d,LEGU__S,ME
5ee37e31,ac363f5b,ALGE__S,MA
452d8b9c,c78da1ba,__CHADURA,FE
9143fcad,5511b747,__XINA,FA
eff89ccf,9ac74973,__CHADO,FE
83529ab8,096ad43e,__ROFA,FA
4f67a1a3,032398fa,A__FAR,FO
d11e238f,df2bd38c,A__ADOS,FI
2cdf7372,1ae1e456,O__NSA,FE
dd461094,3dcb035a,A__TO,FE
ac30dde3,eb2dfaee,SO__,FÁ
834d5d57,2f2f6940,ALFA__,FA
e61fd85c,9e939fa0,CHE__,FE
547d5241,c81d93f3,BI__,FE
24e69ae7,8a1bfd71,__LA,BO
6a31713b,a622ee95,__CHOS,BI
bce7b202,c81d93f3,__FE,BI
87c3ed7d,47594ea1,__RRIFAR,BO
be7cb543,83e07a80,A__JUR,BA
54fb26b8,d0bd9390,A__CAXI,BA
be311d58,65141544,JA__TI,BU
35107663,dd4b5f42,JA__TICABA,BU
024267ac,384c199a,LAM__R,BE
4c0e1be4,440930aa,GOIA__,BA
3cf6b3bb,dd4b5f42,JABUTICA__,BA
7bc97a29,bd5c5d37,CACHIM__,BO
ae47e696,55b65411,__JA,NA
80ff8b97,a3609fc6,__NJAS,NI
c6482ff3,ac9b7d54,__VE,NE
b62ef673,657ae3fd,__VIO,NA
541acfb9,0e90d98c,CHI__LO,NE
b875254d,19a5746c,DI__SSAURO,NO
f3d2005e,03e5e7df,JA__LA,NE
1bd0101d,2b27cab3,DA__NE,NO
54637023,3e338a6a,CHAMI__,NÉ
a8597f61,5511b747,FAXI__,NA
63590d98,3cafc093,DOMI__,NÓ
1313d091,2b27cab3,DANO__,NE
58b56690,bb88002d,__DO,DA
3a3116ca,5534eb40,__DO,DE
550dbb8b,19a5746c,__NOSSAURO,DI
7a6e4883,3cafc093,__MINÓ,DO
51cde438,20b68ecc,GOR__RA,DU
21284a4b,c78da1ba,FECHA__RA,DU
91a449d1,7f3e399b,DIFICUL__DE,DA
f5d1ca35,ef6d6d8b,VELOCI__DE,DA
b717d6f2,c51c3529,JAR__M,DI
18281012,e4300963,LIN__,DA
77bb573c,654301cb,CHEGA__,DA
c02b6fbe,4a11be8d,ENXA__,DA
b7e64daa,878d791c,__IXA,CA
4ccf6101,bd5c5d37,__CHIMBO,CA
5d4d6aa9,b829ec4d,__CHOEIRA,CA
dd790d01,6613634b,__CHORRO,CA
deb2e4b4,64868fa4,XI__RA,CA
ee3095fd,6d2ac81f,CHO__LHO,CA
b04ca2fe,e68c22d4,CHO__LATE,CO
9a5329a6,754f1860,DES__RGA,CA
0ebe01c0,775cd6ef,DIS__,CO
ab79939f,422ef04d,CAS__,CA
d03024c7,5fd9b43d,CIN__,CO
cadbf7db,73756425,MÁGI__,CO
fba15e66,7d17669f,__CHEIO,RE
7954f7c7,256a6868,__SBIFE,RO
a9414850,ccc64cb3,__NGUE,RI
3bcaa58c,949d9701,__GUA,RÉ
acd4384a,568c91d9,A___NJO,RRA
fdd6f45e,3c45b75d,CHU___SCO,RRA
f7b5af09,98dff104,GA___FA,RRA
615b8a3b,47594ea1,BO___FAR,RRI
9110c2c8,29336b23,FE___,RRO
c5263fe3,9fe8c27a,GO___,RRO
e0db7504,6613634b,CACHO___,RRO
f5e08b8c,dc2f293e,MACA____,RRÃO
b5ff1174,246f5bc1,__RFO,GA
6fef5381,b2c3d387,__TO,GA
c18d1eca,9fe8c27a,__RRO,GO
73015441,b4699007,__RILA,GO
b5460875,589c8a3d,A__CHAR,GA
65be851b,b1373ea7,A__LHA,GU
7b9b6974,654301cb,CHE__DA,GA
4a5aa32e,2f88f7a6,RE__DOR,GA
c0b6606f,87ff01af,FO___,GÃO
2d8e071f,1c67e79b,FI__S,GO
eb7e14fe,2e728b53,FO__,GO
5ff88541,53838456,LA__,GO
b90f6709,fb1cf7a5,A__RA,RA
26b8c7e4,1966a1a8,A__NHA,RA
6072eae1,8df351b3,U__BU,RU
5921b3c7,38dfc1ed,O__,RE
70729b83,0075e33a,XA__PE,RO
60dace6d,57eda258,XE__FE,RI
c9ba6cd9,3449f4c8,TA__FA,RE
a9957eb7,d43764bf,GI__FA,RA
3ca2b929,fb1cf7a5,ARA__,RA
2396e4a7,72ba3b86,CHEI__,RO
98bb9aff,64868fa4,XÍCA__,RA
e9b1f89b,3057408f,CHUVEI__,RO
3a2983fb,946344de,__GO,JO
fdf3e83b,0b463aa4,__GADOR,JO
c3c532e4,f81a1bb8,__RRA,JA
2f266ed0,8ae31d07,__RNAL,JO
601e34be,5eef270a,MAN__RICÃO,JE
51ed34d2,5455fad9,BERIN__LA,JE
d7952ca9,c205f6cd,CAN__CA,JI
691e6ff6,8c23e40e,SO__,JA
7e411e14,34b7fb79,SU__,JO
58b3c823,c417d37f,FEI___,JÃO
3109ac3c,83e07a80,ABA__R,JU
024fd6e6,eb2dfaee,__FÁ,SO
d5dfc694,8c23e40e,__JA,SO
2983fb65,34b7fb79,__JO,SU
a0b453ab,648c2872,__CO,SA
05166c96,3e440dc2,A___STIR,SSI
6cfe01ad,9686a76e,A___PRAR,SSO
afa5a51d,3063d04c,MA___GEM,SSA
ed1cbcd7,2c40461c,VA___URA,SSO
9c5c8546,6368e6c3,GAN__,SO
7cb67fac,1ae1e456,OFEN__,SA
08cb6260,bb983828,PROFE___R,SSO
684390bc,f82e9ef6,GE___,SSO
a025bcf2,64868fa4,__CARA,XÍ
6338bfe4,0df05fb3,__DREZ,XA
4657bc00,0075e33a,__ROPE,XA
1805bf93,57eda258,__RIFE,XE
9f7758f0,4a11be8d,EN__DA,XA
0d2dea6b,39de396d,EN__ME,XA
a267614a,5511b747,FA__NA,XI
8a30e699,3ba67219,ME__RICA,XE
d8f7c9a5,878d791c,CAI__,XA
e3364485,090b892e,QUEI__,XO
15b29823,97c2308d,PEI__,XE
663be421,61fb860f,BRU__,XA
2518940e,7ff710f2,__JE,HO
a8f9f775,e93a2d12,__LICÓPTERO,HE
84ac7c03,7f5fc194,__RTA,HO
5ca658ac,4e7700a8,__STÓRIA,HI
07ffff73,0788fb30,___R,FLO
55a49744,38c6f2e1,___MINGO,FLA
e4741502,8a82c646,___UTA,FLA
53990a7b,f8013b95,___RESTA,FLO
d6e4f310,04707b2c,CHI___TE,CLE
3550aeef,38355f81,BI___OTECA,BLI
7f51e3f2,76972b5e,DI___MA,PLO
207522b0,a3f52de4,IN___VEL,FLÁ
ad370e48,b14b2b4a,I___,GLU
84a54d5c,9931d55e,___FA,TRU
9ae961ff,bb983828,___FESSOR,PRO
19babdf0,fbff48b6,___NGO,FRA
30c7b622,6480f568,___ÂNGULO,TRI
d0d7fafe,da1a828d,I___JA,GRE
48a3825f,9eecd71a,A___L,BRI
beaa040f,e1f913a1,E___DOM,DRE
b704426b,57b3f7d5,A___ÃO,GRI
edf64fad,0df05fb3,XA___Z,DRE
41cd7957,405e44d3,CHI___,FRE
82e665d4,592878c8,CO___,BRA
5c104fa0,03de0cc8,LI___,VRO
806bf37f,0a2554a8,__CA,OR
31d3b4c0,5fcd4aec,__CO,AR
115c41d0,cfe26e5a,__VORE,ÁR
ac7deb32,b4ffb167,__VILHA,ER
142f7de8,246f5bc1,G__FO,AR
cc0103b6,587b8a99,F__MIGA,OR
303eb099,375aee4e,S__FISTA,UR
031c0ba1,470f4de6,G__ÇA,AR
d0549ed0,0788fb30,FL__,OR
326a7b12,fcc77088,AM__,OR
aef16a41,68f2eef5,SU__,OR
53f4d821,9f2ccd46,VO__,AR
3f7b65e7,35652d75,AVI__,ÃO
d81e9eb7,87ff01af,FOG__,ÃO
b0deaf38,73666562,LIM__,ÃO
da69f11a,175f83f7,SAB__,ÃO
26325518,9dd8cc2c,__BRA,ZE
2ea0856c,9794ee4a,__GUEIRO,ZA
4ce1a5ae,eb520f94,A__LEJO,ZU
93aabc04,ca040125,FA__NDA,ZE
bc51d63f,50919bb8,GUI__,ZO
8ea678f7,f2358e2e,RIQUE__,ZA
90ea625f,649a1eae,DURE__,ZA
6c91e8ca,57c2c7fc,LIMPE__,ZA
ID,Palavra,Enunciado,Resposta
f3853899,35652d75,_VIÃO,A
9969ab3c,bbba34c5,_GUA,Á
33178261,589c8a3d,_GACHAR,A
7792fadc,2f2f6940,_LFAFA,A
53c5e851,a57dc1fc,CH_PÉU,A
958de122,4b27714a,CH_VE,A
5b4c8002,0df05fb3,X_DREZ,A
0eea9048,0075e33a,X_ROPE,A
d77fa169,589c8a3d,AG_CHAR,A
388e8ca9,64868fa4,XÍC_RA,A
22c5ac29,6d2ac81f,CHOC_LHO,A
328f5247,3c45b75d,CHURR_SCO,A
7a37885b,a8bf2f36,UNH_,A
3348804e,8a1bfd71,BOL_,A
3f34a7b0,6fd1a502,CHUV_,A
a5a86d14,64868fa4,XÍCAR_,A
88e0c17f,4a11be8d,_NXADA,E
69ac455d,39de396d,_NXAME,E
9a60a843,fafd19ae,_STUFAR,E
54dc8cff,2059bcf1,_LEFANTE,E
455b44d3,043f814e,CH_IRAR,E
071ad820,654301cb,CH_GADA,E
8c5faef4,57eda258,X_RIFE,E
379b3c4d,cca4f43f,CH_IO,
a2423db3,a01defa2,DU_NDE,E
b5e14844,2059bcf1,EL_FANTE,E
48250f5f,3dcb035a,AF_TO,E
85388410,c90f7f06,JO_LHO,E
ca3f6a1c,4b27714a,CHAV_,E
739d3046,405e44d3,CHIFR_,E
2a9f9eee,04707b2c,CHICLET_,E
fd2f42fb,97c2308d,PEIX_,E
3069b542,1984590f,_NFANTIL,I
55849e7b,a3f52de4,_NFLÁVEL,I
541c2c1d,6f686ffd,_NFORMAÇÃO,I
d3da921c,400bec64,_GUANA,I
21132c24,0e90d98c,CH_NELO,I
dc8ceaeb,64868fa4,X_CARA,Í
384ec877,79e3b16c,X_S,I
03a45d71,8fb92589,CH_NCHILA,I
72c9d5df,35652d75,AV_ÃO,I
6fb00f72,043f814e,CHE_RAR,I
7ba658ea,cca4f43f,CHE_O,I
6e28f810,878d791c,CA_XA,I
2ebad39b,d019042a,COREOGRAF_A,I
67ae8e17,19b14b3b,LAVANDER_A,I
b2217948,b1e54622,UNICÓRN_O,I
c21f4068,c0f7de5a,FAMÍL_A,I
ff27ebba,1ae1e456,_FENSA,O
c4e1c774,58eaed01,_CA,O
9cee9b5c,0a2554a8,_RCA,O
ea97ebfe,f166340e,_FERTA,O
3f4c68a3,8a1bfd71,B_LA,O
8dfa813c,6d2ac81f,CH_CALHO,O
47c78cf4,e68c22d4,CH_COLATE,O
b3fd1bb0,3cafc093,D_MINÓ,O
2db7865a,032398fa,AF_FAR,O
9e29197d,76222800,AF_GADO,O
8d2fbffb,e68c22d4,CHOC_LATE,O
9dc8f2fd,0075e33a,XAR_PE,O
e2203776,0788fb30,FL_R,O
affee7db,bb983828,PROFESS_R,O
2fb51588,e8a94284,TROC_,O
5be6371d,cca4f43f,CHEI_,O
3d26f9e2,a8bf2f36,_NHA,U
c5acdad5,9897d566,_NIFORME,U
a2011d46,b1e54622,_NICÓRNIO,U
e5f9a010,8df351b3,_RUBU,U
1d8859aa,6fd1a502,CH_VA,U
3f20557f,3057408f,CH_VEIRO,U
d76fbd72,c583af95,CH_PETA,U
c17a5fa2,3c45b75d,CH_RRASCO,U
9d122f3c,b1373ea7,AG_LHA,U
af0bfa45,eb520f94,AZ_LEJO,U
eaa40bf5,c0add2b7,MACH_CADO,U
2355d86b,fafd19ae,EST_FAR,U
bf41af58,c59db6d1,CHUCH_,U
6e1cc7a2,b4ad0a33,TOF_,U
af27d976,a57dc1fc,CHAPÉ_,U
3604f959,9cc04239,XAMP_,U
b39b5989,b575ead5,__QUIDIFICADOR,LI
4400b625,53838456,__GO,LA
b74a7d23,b87ecf3f,__NGUA,LÍ
b66207cb,a8d9176d,__GUMES,LE
d901ee3e,2059bcf1,E__FANTE,LE
36844174,a5bb4e24,A__MENTOS,LI
ec6dc305,d8aa294c,A__CATE,LI
08ac0f0e,9d736e11,A__GRIA,LE
9cedcea7,8a1bfd71,BO__,LA
4c41b2ff,6d9c36d9,CHU__,LÉ
e083d9ec,5806c58c,JAU__,LA
994d9cc3,2ff2de64,VIO___,LÃO
6404d261,84434433,__XE,PU
ea3ea1c4,97c2308d,__IXE,PE
769bf541,f1bc79c9,__FOU,PI
3bb6683f,aa952115,__LGA,PU
1f313a12,c583af95,CHU__TA,PE
ecda5a96,72009258,AS__RGO,PA
417b30d2,d34e560a,GUE__RDO,PA
87525d6b,773194d6,ES__NJA,PO
3263cca0,9cc04239,XAM__,PU
85ecac5f,186af6b0,LIM__,PA
842eee1e,0075e33a,XARO__,PE
03b2c058,00ecf92f,GARU__,PA
8af16797,3e90ed96,__CA,VA
a0f6df4f,73b78e2b,__DRO,VI
3fd0dcdf,49ac8942,__DRAÇA,VI
7aedbf5d,e7a3b3d9,__RE,VI
d0ddb92c,35652d75,A__ÃO,VI
84c58e61,e2ec96f2,A__NTURA,VE
47d1ba88,81587a83,A__NTAL,VE
554bd13b,267969f3,A__SO,VI
59b00ea8,6fd1a502,CHU__,VA
285f6681,4b27714a,CHA__,VE
4c959b5c,99719e8f,TRO___,VÃO
b53c23dd,22d74777,CRA__,VO
9e697f87,3449f4c8,__REFA,TA
999b37c3,b4ad0a33,__FU,TO
932592ec,0bb48434,__LEFONE,TE
f634f020,8493af4d,__GARELA,TA
0f9ecf42,56daa673,A__NGIR,TI
9f50cab6,3290d295,U__NSÍLIO,TE
9d324d69,cbde2a6f,A__VIDADE,TI
eba79d87,fafd19ae,ES__FAR,TU
bd113920,97b42398,FI__,TA
57f2c161,4294acf9,FO__,TO
f6a7113e,8f80af90,FES__,TA
bde50b42,c583af95,CHUPE__,TA
f0bb9967,c0add2b7,__CHUCADO,MA
365e4f4a,7a6725b5,__CHADO,MA
e89cd3c0,3ba67219,__XERICA,ME
79492ff8,bc7d0d20,__XILHÃO,ME
44149d72,5227154b,A__RGO,MA
a20d3c4a,3e338a6a,CHA__NÉ,MI
7ad0e312,3cafc093,DO__NÓ,MI
b6ce2345,3f29aff9,FU__ÇA,MA
23ee9357,f7f6c2dd,LES__,MA
56c202b5,39de396d,ENXA__,ME
dccf7287,a8d9176d,LEGU__S,ME
5ee37e31,ac363f5b,ALGE__S,MA
452d8b9c,c78da1ba,__CHADURA,FE
9143fcad,5511b747,__XINA,FA
eff89ccf,9ac74973,__CHADO,FE
83529ab8,096ad43e,__ROFA,FA
4f67a1a3,032398fa,A__FAR,FO
d11e238f,df2bd38c,A__ADOS,FI
2cdf7372,1ae1e456,O__NSA,FE
dd461094,3dcb035a,A__TO,FE
ac30dde3,eb2dfaee,SO__,FÁ
834d5d57,2f2f6940,ALFA__,FA
e61fd85c,9e939fa0,CHE__,FE
547d5241,c81d93f3,BI__,FE
24e69ae7,8a1bfd71,__LA,BO
6a31713b,a622ee95,__CHOS,BI
bce7b202,c81d93f3,__FE,BI
87c3ed7d,47594ea1,__RRIFAR,BO
be7cb543,83e07a80,A__JUR,BA
54fb26b8,d0bd9390,A__CAXI,BA
be311d58,65141544,JA__TI,BU
35107663,dd4b5f42,JA__TICABA,BU
024267ac,384c199a,LAM__R,BE
4c0e1be4,440930aa,GOIA__,BA
3cf6b3bb,dd4b5f42,JABUTICA__,BA
7bc97a29,bd5c5d37,CACHIM__,BO
ae47e696,55b65411,__JA,NA
80ff8b97,a3609fc6,__NJAS,NI
c6482ff3,ac9b7d54,__VE,NE
b62ef673,657ae3fd,__VIO,NA
541acfb9,0e90d98c,CHI__LO,NE
b875254d,19a5746c,DI__SSAURO,NO
f3d2005e,03e5e7df,JA__LA,NE
1bd0101d,2b27cab3,DA__NE,NO
54637023,3e338a6a,CHAMI__,NÉ
a8597f61,5511b747,FAXI__,NA
63590d98,3cafc093,DOMI__,NÓ
1313d091,2b27cab3,DANO__,NE
58b56690,bb88002d,__DO,DA
3a3116ca,5534eb40,__DO,DE
550dbb8b,19a5746c,__NOSSAURO,DI
7a6e4883,3cafc093,__MINÓ,DO
51cde438,20b68ecc,GOR__RA,DU
21284a4b,c78da1ba,FECHA__RA,DU
91a449d1,7f3e399b,DIFICUL__DE,DA
f5d1ca35,ef6d6d8b,VELOCI__DE,DA
b717d6f2,c51c3529,JAR__M,DI
18281012,e4300963,LIN__,DA
77bb573c,654301cb,CHEGA__,DA
c02b6fbe,4a11be8d,ENXA__,DA
b7e64daa,878d791c,__IXA,CA
4ccf6101,bd5c5d37,__CHIMBO,CA
5d4d6aa9,b829ec4d,__CHOEIRA,CA
dd790d01,6613634b,__CHORRO,CA
deb2e4b4,64868fa4,XI__RA,CA
ee3095fd,6d2ac81f,CHO__LHO,CA
b04ca2fe,e68c22d4,CHO__LATE,CO
9a5329a6,754f1860,DES__RGA,CA
0ebe01c0,775cd6ef,DIS__,CO
ab79939f,422ef04d,CAS__,CA
d03024c7,5fd9b43d,CIN__,CO
cadbf7db,73756425,MÁGI__,CO
fba15e66,7d17669f,__CHEIO,RE
7954f7c7,256a6868,__SBIFE,RO
a9414850,ccc64cb3,__NGUE,RI
3bcaa58c,949d9701,__GUA,RÉ
acd4384a,568c91d9,A___NJO,RRA
fdd6f45e,3c45b75d,CHU___SCO,RRA
f7b5af09,98dff104,GA___FA,RRA
615b8a3b,47594ea1,BO___FAR,RRI
9110c2c8,29336b23,FE___,RRO
c5263fe3,9fe8c27a,GO___,RRO
e0db7504,6613634b,CACHO___,RRO
f5e08b8c,dc2f293e,MACA____,RRÃO
b5ff1174,246f5bc1,__RFO,GA
6fef5381,b2c3d387,__TO,GA
c18d1eca,9fe8c27a,__RRO,GO
73015441,b4699007,__RILA,GO
b5460875,589c8a3d,A__CHAR,GA
65be851b,b1373ea7,A__LHA,GU
7b9b6974,654301cb,CHE__DA,GA
4a5aa32e,2f88f7a6,RE__DOR,GA
c0b6606f,87ff01af,FO___,GÃO
2d8e071f,1c67e79b,FI__S,GO
eb7e14fe,2e728b53,FO__,GO
5ff88541,53838456,LA__,GO
b90f6709,fb1cf7a5,A__RA,RA
26b8c7e4,1966a1a8,A__NHA,RA
6072eae1,8df351b3,U__BU,RU
5921b3c7,38dfc1ed,O__,RE
70729b83,0075e33a,XA__PE,RO
60dace6d,57eda258,XE__FE,RI
c9ba6cd9,3449f4c8,TA__FA,RE
a9957eb7,d43764bf,GI__FA,RA
3ca2b929,fb1cf7a5,ARA__,RA
2396e4a7,72ba3b86,CHEI__,RO
98bb9aff,64868fa4,XÍCA__,RA
e9b1f89b,3057408f,CHUVEI__,RO
3a2983fb,946344de,__GO,JO
fdf3e83b,0b463aa4,__GADOR,JO
c3c532e4,f81a1bb8,__RRA,JA
2f266ed0,8ae31d07,__RNAL,JO
601e34be,5eef270a,MAN__RICÃO,JE
51ed34d2,5455fad9,BERIN__LA,JE
d7952ca9,c205f6cd,CAN__CA,JI
691e6ff6,8c23e40e,SO__,JA
7e411e14,34b7fb79,SU__,JO
58b3c823,c417d37f,FEI___,JÃO
3109ac3c,83e07a80,ABA__R,JU
024fd6e6,eb2dfaee,__FÁ,SO
d5dfc694,8c23e40e,__JA,SO
2983fb65,34b7fb79,__JO,SU
a0b453ab,648c2872,__CO,SA
05166c96,3e440dc2,A___STIR,SSI
6cfe01ad,9686a76e,A___PRAR,SSO
afa5a51d,3063d04c,MA___GEM,SSA
ed1cbcd7,2c40461c,VA___URA,SSO
9c5c8546,6368e6c3,GAN__,SO
7cb67fac,1ae1e456,OFEN__,SA
08cb6260,bb983828,PROFE___R,SSO
684390bc,f82e9ef6,GE___,SSO
a025bcf2,64868fa4,__CARA,XÍ
6338bfe4,0df05fb3,__DREZ,XA
4657bc00,0075e33a,__ROPE,XA
1805bf93,57eda258,__RIFE,XE
9f7758f0,4a11be8d,EN__DA,XA
0d2dea6b,39de396d,EN__ME,XA
a267614a,5511b747,FA__NA,XI
8a30e699,3ba67219,ME__RICA,XE
d8f7c9a5,878d791c,CAI__,XA
e3364485,090b892e,QUEI__,XO
15b29823,97c2308d,PEI__,XE
663be421,61fb860f,BRU__,XA
2518940e,7ff710f2,__JE,HO
a8f9f775,e93a2d12,__LICÓPTERO,HE
84ac7c03,7f5fc194,__RTA,HO
5ca658ac,4e7700a8,__STÓRIA,HI
07ffff73,0788fb30,___R,FLO
55a49744,38c6f2e1,___MINGO,FLA
e4741502,8a82c646,___UTA,FLA
53990a7b,f8013b95,___RESTA,FLO
d6e4f310,04707b2c,CHI___TE,CLE
3550aeef,38355f81,BI___OTECA,BLI
7f51e3f2,76972b5e,DI___MA,PLO
207522b0,a3f52de4,IN___VEL,FLÁ
ad370e48,b14b2b4a,I___,GLU
84a54d5c,9931d55e,___FA,TRU
9ae961ff,bb983828,___FESSOR,PRO
19babdf0,fbff48b6,___NGO,FRA
30c7b622,6480f568,___ÂNGULO,TRI
d0d7fafe,da1a828d,I___JA,GRE
48a3825f,9eecd71a,A___L,BRI
beaa040f,e1f913a1,E___DOM,DRE
b704426b,57b3f7d5,A___ÃO,GRI
edf64fad,0df05fb3,XA___Z,DRE
41cd7957,405e44d3,CHI___,FRE
82e665d4,592878c8,CO___,BRA
5c104fa0,03de0cc8,LI___,VRO
806bf37f,0a2554a8,__CA,OR
31d3b4c0,5fcd4aec,__CO,AR
115c41d0,cfe26e5a,__VORE,ÁR
ac7deb32,b4ffb167,__VILHA,ER
142f7de8,246f5bc1,G__FO,AR
cc0103b6,587b8a99,F__MIGA,OR
303eb099,375aee4e,S__FISTA,UR
031c0ba1,470f4de6,G__ÇA,AR
d0549ed0,0788fb30,FL__,OR
326a7b12,fcc77088,AM__,OR
aef16a41,68f2eef5,SU__,OR
53f4d821,9f2ccd46,VO__,AR
3f7b65e7,35652d75,AVI__,ÃO
d81e9eb7,87ff01af,FOG__,ÃO
